@relation 'breast-cancer-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R1,8-9,24,31-32,34-37,49_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A38-N200-T1.0E-4'

@attribute Source_0 numeric
@attribute Source_1 numeric
@attribute Source_2 numeric
@attribute Source_3 numeric
@attribute Source_4 numeric
@attribute Source_5 numeric
@attribute Source_6 numeric
@attribute Source_7 numeric
@attribute Source_8 numeric
@attribute Source_9 numeric
@attribute Source_10 numeric
@attribute Source_11 numeric
@attribute Source_12 numeric
@attribute Source_13 numeric
@attribute Source_14 numeric
@attribute Source_15 numeric
@attribute Source_16 numeric
@attribute Source_17 numeric
@attribute Source_18 numeric
@attribute Source_19 numeric
@attribute Source_20 numeric
@attribute Source_21 numeric
@attribute Source_22 numeric
@attribute Source_23 numeric
@attribute Source_24 numeric
@attribute Source_25 numeric
@attribute Source_26 numeric
@attribute Source_27 numeric
@attribute Source_28 numeric
@attribute Source_29 numeric
@attribute Source_30 numeric
@attribute Source_31 numeric
@attribute Source_32 numeric
@attribute Source_33 numeric
@attribute Source_34 numeric
@attribute Source_35 numeric
@attribute Source_36 numeric
@attribute Source_37 numeric
@attribute Class {no-recurrence-events,recurrence-events}

@data
0.037338,-0.004914,-0.010937,0.030185,0.028828,-0.095848,-0.056055,0.094604,0.076599,-0.058945,-0.023509,-0.042413,-0.010428,-0.019074,-0.002527,0.002143,0.00327,-0.018272,-0.041668,-0.030395,0.010032,0.000392,-0.030207,-0.034443,0.018899,0.033328,0.001989,0.010609,0.100381,-0.019846,0.000239,-0.030925,-0.014422,0.002382,0.012156,0.038254,-0.010749,0.023287,no-recurrence-events
-0.008316,-0.001374,0.015186,-0.022549,-0.092266,0.039894,0.030859,0.048218,0.00824,0.077774,-0.062571,0.071357,0.003732,0.031036,-0.006433,-0.082818,-0.04922,-0.020713,-0.014324,0.036012,0.028587,-0.070897,0.035223,0.000225,-0.010643,0.011355,0.087927,0.031117,0.060342,0.01824,0.007075,0.033039,0.009504,-0.040099,0.011668,-0.032059,0.002923,0.002779,no-recurrence-events
0.051071,-0.009491,-0.047192,0.071201,0.094746,0.000007,-0.026697,-0.046875,0.027039,0.026871,-0.132762,0.023017,0.00953,0.036422,-0.033777,-0.037652,-0.068629,0.034341,0.020832,0.038941,-0.180245,0.140773,0.062078,-0.029194,-0.059776,-0.01843,-0.059168,-0.029308,-0.01168,-0.007639,-0.019537,-0.02885,0.01457,-0.024291,-0.072072,-0.059403,0.002069,0.042452,no-recurrence-events
0.085922,-0.001374,0.014209,0.071201,0.001484,0.028175,-0.016504,0.068725,0.023865,-0.014023,-0.061595,-0.022393,-0.008475,0.017364,-0.063074,-0.008599,0.01328,-0.036338,-0.009441,0.043824,-0.012428,0.075588,0.015691,-0.062275,-0.004783,0.093386,0.043981,-0.005016,0.044717,-0.036447,-0.043707,0.042805,-0.01784,0.053651,-0.002004,-0.037918,-0.049811,-0.028471,no-recurrence-events
0.005946,-0.03377,0.090264,0.015191,0.012518,0.019915,-0.036672,0.014728,0.068116,-0.083207,0.027059,-0.059026,-0.037183,-0.00798,0.036249,0.007584,-0.001598,-0.035378,0.028688,-0.066247,0.015521,0.029267,-0.042449,0.017716,0.013875,-0.003013,-0.01382,-0.018297,0.015629,-0.086638,0.024905,0.008958,0.003141,0.054296,-0.054718,-0.042788,0.067092,-0.042151,recurrence-events
-0.083206,0.135528,-0.082348,-0.014737,0.038105,-0.065422,-0.043299,-0.0625,-0.021789,-0.021958,-0.031199,0.038642,-0.015861,0.00505,-0.018152,0.083442,0.01975,0.026528,0.153645,-0.039184,-0.024971,0.004054,0.042547,0.112407,-0.061729,0.028445,-0.032801,-0.00587,-0.040976,-0.066233,0.064448,0.037556,-0.028399,-0.095092,-0.031057,0.003097,0.074334,-0.000517,no-recurrence-events
-0.007828,-0.083405,-0.047802,-0.088956,-0.072735,-0.104637,-0.075586,0.05603,-0.056213,-0.002304,-0.053782,0.081122,0.12629,-0.034394,-0.014246,-0.012505,0.085546,-0.005088,-0.072918,0.073121,-0.045632,-0.024022,0.128973,-0.023213,0.033303,-0.00427,-0.069788,0.028187,-0.002158,0.043631,0.012934,-0.018718,-0.009539,0.03412,-0.017629,0.07341,-0.123054,-0.036284,no-recurrence-events
-0.008316,-0.001374,0.015186,-0.022549,-0.092266,0.039894,0.030859,0.048218,0.00824,0.077774,-0.062571,0.071357,0.003732,0.031036,-0.006433,-0.082818,-0.04922,-0.020713,-0.014324,0.036012,0.028587,-0.070897,0.035223,0.000225,-0.010643,0.011355,0.087927,0.031117,0.060342,0.01824,0.007075,0.033039,0.009504,-0.040099,0.011668,-0.032059,0.002923,0.002779,no-recurrence-events
-0.034195,0.001556,0.001514,0.043857,0.157734,-0.060692,-0.008692,0.070679,0.010193,-0.021835,-0.038157,0.040107,0.001779,0.004424,-0.063074,-0.022271,0.052343,-0.028526,-0.019695,-0.069457,0.037132,-0.057225,0.062566,0.018779,0.046486,-0.0697,0.057653,-0.022594,0.1121,0.026053,-0.006597,0.001789,-0.11989,0.029725,0.076121,0.016769,-0.066413,-0.04019,no-recurrence-events
-0.025894,0.030853,-0.05122,0.047763,0.022969,-0.002098,-0.070704,-0.007446,-0.077698,-0.045273,-0.067454,0.036201,0.060372,0.010284,-0.090418,0.09101,0.067968,-0.012901,0.048664,0.008668,0.050804,-0.051365,0.005926,-0.002705,-0.055076,0.037722,0.087438,0.013539,-0.014853,-0.00715,-0.024175,-0.000164,0.012434,0.010194,0.05366,-0.041825,-0.013679,-0.006987,no-recurrence-events
-0.103287,-0.028351,0.056446,0.067294,0.062031,0.079933,-0.011622,-0.031861,-0.062073,0.002579,-0.002024,-0.020928,-0.005057,-0.152863,-0.021082,0.103706,0.063817,0.06376,-0.04948,0.101441,-0.050514,0.024318,-0.177668,-0.050068,0.041359,0.030886,-0.057093,-0.001598,0.053506,-0.018869,0.11059,-0.086589,-0.121355,-0.07965,-0.033254,0.060714,0.020501,0.062349,recurrence-events
-0.083166,-0.063433,0.020196,0.050347,0.002753,0.028704,-0.034719,0.027912,0.019288,0.020309,0.0212,0.007868,-0.001539,0.004044,-0.039923,-0.118392,0.065052,-0.074929,0.016969,0.058753,-0.035261,-0.004913,0.132355,0.089493,0.05074,-0.065025,0.042332,-0.014391,0.030277,0.072542,-0.01904,-0.013991,-0.097445,0.046972,-0.001495,-0.11896,-0.064744,-0.103674,no-recurrence-events
0.08226,-0.027253,0.023243,0.102451,-0.056133,0.032326,-0.021631,-0.014771,0.041443,0.003555,-0.048899,-0.013604,0.070626,0.030914,0.018957,-0.046685,-0.071193,0.050088,-0.065838,0.018433,-0.00547,-0.016698,0.049871,-0.04665,-0.03823,0.023074,0.027136,0.013539,0.076211,-0.043283,0.010004,0.031575,-0.021746,-0.024718,0.024363,-0.053543,-0.029304,0.062349,no-recurrence-events
0.016586,-0.00528,0.06792,-0.135831,-0.02,0.004738,0.024023,-0.030884,-0.052307,0.034805,-0.010814,0.085029,0.0467,-0.00705,-0.029871,-0.004693,0.026952,0.006631,-0.046551,-0.001098,0.024681,-0.002537,0.029363,0.000225,0.004006,0.003543,-0.073694,-0.022594,-0.041221,-0.036447,0.005122,0.02425,0.029524,0.018495,-0.029348,0.085129,-0.013679,-0.059721,no-recurrence-events
-0.057531,-0.000567,-0.043037,-0.060981,-0.107599,0.062884,-0.02886,0.020587,-0.015868,-0.007035,0.086629,0.023005,0.09392,0.081864,0.128046,0.013443,0.002308,0.068138,0.056031,-0.121911,-0.079206,-0.130401,-0.023895,0.076309,0.005086,0.040932,0.018895,-0.057848,0.009769,-0.129607,0.04346,0.034349,0.054411,-0.082423,-0.008331,-0.041811,-0.056932,0.100427,recurrence-events
0.01268,0.051361,-0.029248,0.075107,-0.02,0.022316,0.008398,-0.050415,-0.071838,-0.035507,-0.062571,-0.027276,0.049142,0.001739,-0.06698,0.030463,0.026952,-0.059776,-0.033855,0.073121,-0.054421,-0.042576,0.05866,-0.040791,-0.032127,0.076785,0.100134,0.075062,-0.01583,0.05535,-0.041753,0.022297,-0.069109,0.100526,-0.056692,-0.02034,-0.108405,0.002779,no-recurrence-events
0.104721,-0.009675,0.066211,0.082919,-0.04832,-0.014549,-0.03335,-0.008911,0.029724,0.012344,-0.003001,-0.011651,0.032052,-0.019868,-0.039636,0.023627,-0.008693,-0.0046,-0.115642,0.030152,-0.019142,0.010646,0.08698,-0.013447,-0.07534,0.051394,-0.10763,-0.030407,0.027383,-0.029611,-0.052496,-0.013347,0.021223,-0.012999,0.029246,0.012863,-0.074225,0.007662,no-recurrence-events
0.016586,-0.00528,0.06792,-0.135831,-0.02,0.004738,0.024023,-0.030884,-0.052307,0.034805,-0.010814,0.085029,0.0467,-0.00705,-0.029871,-0.004693,0.026952,0.006631,-0.046551,-0.001098,0.024681,-0.002537,0.029363,0.000225,0.004006,0.003543,-0.073694,-0.022594,-0.041221,-0.036447,0.005122,0.02425,0.029524,0.018495,-0.029348,0.085129,-0.013679,-0.059721,no-recurrence-events
-0.041763,0.059539,-0.089795,-0.008878,-0.052227,-0.066551,0.05039,-0.049927,0.041443,-0.014023,0.038015,0.082587,-0.010184,0.00827,0.05802,-0.052544,-0.008448,-0.043662,-0.023113,0.059449,-0.0261,-0.106541,-0.058527,-0.022724,-0.033836,0.028445,-0.01803,0.05309,-0.067588,0.10906,-0.059332,-0.081707,0.01341,0.033632,0.024363,-0.011551,-0.013679,0.029146,no-recurrence-events
-0.059341,-0.131867,0.039844,-0.122159,-0.124492,-0.129051,0.114843,-0.077271,-0.106994,-0.10582,0.061452,0.014228,0.065988,0.006317,0.097082,-0.075982,-0.156886,-0.078818,0.078694,-0.001098,-0.002663,0.047756,-0.085871,0.000713,-0.076805,-0.096555,0.050329,-0.088512,-0.020713,-0.117502,-0.067144,0.037434,-0.072527,-0.169493,-0.017629,0.023605,0.041009,0.134615,recurrence-events
-0.016311,0.094024,-0.055004,-0.006924,0.036152,-0.080071,-0.005213,-0.024414,0.056336,0.110855,-0.064402,0.073798,-0.05297,0.013961,0.017004,-0.049371,-0.06277,-0.006675,0.046223,0.056519,-0.081612,0.058742,0.030828,0.021587,-0.07833,-0.016477,-0.053309,-0.015636,-0.035117,0.00408,-0.027349,-0.101116,0.032148,-0.09851,-0.015432,-0.078934,0.058709,-0.016142,recurrence-events
-0.021887,-0.095171,-0.01667,-0.019966,-0.118341,0.019182,-0.105764,0.016681,0.052491,-0.041215,0.025106,-0.03803,0.025805,0.009781,0.005976,-0.131088,0.039173,-0.029519,-0.001342,0.114417,-0.101545,0.073212,0.003449,0.048477,0.048543,0.026772,-0.00967,0.002699,-0.000729,0.050081,0.005374,-0.058425,0.056852,0.003759,-0.080109,-0.055483,-0.004197,-0.006995,no-recurrence-events
0.041428,0.026519,0.013843,-0.057706,0.020039,-0.018456,-0.070948,0.04187,0.007996,-0.069199,-0.075999,-0.018975,-0.029716,0.02655,0.017493,0.086127,0.054296,0.025674,0.054646,0.040406,0.058678,-0.003514,-0.027766,-0.008808,-0.011131,0.09363,0.005407,-0.018199,-0.020957,0.058767,-0.015386,0.07259,0.014021,0.040712,0.130808,-0.092606,0.004876,0.028169,no-recurrence-events
0.025376,0.055267,-0.037548,0.047763,0.001484,-0.001122,-0.058497,-0.024048,-0.065979,-0.000351,-0.047923,0.004951,0.06672,0.013458,-0.094324,0.061713,0.056249,0.016396,0.012043,0.04773,0.029564,-0.012303,0.029363,-0.019306,-0.063377,0.042605,0.100134,0.00182,-0.013877,-0.028635,-0.016363,-0.033367,0.007063,-0.024474,0.035105,-0.037918,-0.03028,-0.030424,no-recurrence-events
-0.004797,-0.100176,0.024834,0.003472,0.037909,0.045305,0.008738,-0.044354,0.036866,-0.070512,0.025106,-0.006292,0.006274,0.014481,0.011835,-0.0139,-0.019176,0.042747,0.020875,-0.072107,-0.064557,0.008271,-0.041473,0.002091,-0.017375,-0.103111,-0.018215,-0.041246,-0.041012,-0.039763,0.037601,-0.050612,0.054411,0.038671,-0.066925,-0.004702,0.080764,-0.014807,recurrence-events
-0.012466,-0.032258,-0.050976,-0.030362,-0.0825,0.048683,0.025488,-0.030884,0.019959,-0.069687,0.024343,0.063056,0.052072,0.056121,0.027746,-0.056451,-0.026027,0.098916,0.04134,-0.051879,-0.011452,-0.065526,-0.014582,0.043682,0.012063,0.009402,-0.004358,-0.008434,0.030068,-0.0384,0.094965,0.104817,0.007551,-0.0484,0.001902,0.080246,0.041986,0.085787,no-recurrence-events
0.02684,0.020111,0.093311,-0.077237,-0.02586,-0.022606,0.04746,0.003296,-0.021057,0.060196,0.001882,0.049872,0.008126,-0.039277,-0.018152,0.032417,0.001561,-0.028526,-0.050457,-0.016723,0.06179,-0.024022,0.06452,-0.009541,-0.021385,0.014285,-0.076136,-0.006969,-0.023642,-0.059885,-0.00855,0.034993,-0.015886,0.041932,-0.014699,0.046066,-0.017585,-0.094878,no-recurrence-events
-0.01094,-0.071503,-0.097973,0.063388,0.223652,-0.178703,0.103186,-0.024414,-0.127258,0.083511,-0.02534,0.021064,-0.061759,-0.129716,0.142004,-0.147027,0.078344,0.069497,-0.000652,-0.019652,0.029716,-0.007664,-0.008234,0.085064,0.035927,0.153445,-0.032801,0.117176,-0.052695,-0.124826,-0.134771,0.072712,0.16789,-0.220092,-0.167776,-0.137528,-0.144416,0.08542,no-recurrence-events
-0.032974,0.059539,0.011524,0.018466,0.009297,0.038917,-0.021875,-0.134888,-0.036682,-0.021835,0.035085,-0.024835,0.04548,-0.013215,-0.059168,0.049018,-0.016261,0.022744,0.046223,-0.004027,0.102806,-0.012791,-0.064387,0.024151,-0.051414,0.054812,-0.010218,0.009144,-0.067588,-0.045236,-0.020269,0.021809,0.006575,0.033632,0.023387,-0.070145,0.080071,-0.009917,no-recurrence-events
0.063217,0.054748,0.050342,-0.092862,-0.035137,0.012123,0.016394,-0.02478,-0.053283,0.056534,0.017141,0.055121,0.078622,-0.023148,0.011877,-0.024224,0.076085,-0.01583,-0.075847,-0.04724,0.075615,0.07571,0.031072,0.020733,-0.054344,-0.066282,-0.130335,-0.003185,-0.070151,0.050711,0.065913,0.003376,-0.002398,-0.030883,-0.04424,0.054855,-0.025886,0.016451,no-recurrence-events
0.037338,0.012664,-0.14082,-0.028409,-0.070781,0.042824,-0.002344,-0.100708,0.057068,0.026993,0.083913,-0.001397,-0.058036,-0.065949,0.069739,0.009956,-0.047511,0.030557,0.111653,-0.055785,0.071556,-0.026463,-0.026301,-0.011006,0.075539,0.005984,-0.090296,-0.035778,-0.005088,-0.01008,0.034418,0.002278,0.028059,-0.122618,0.037058,0.129074,0.013665,-0.060698,recurrence-events
0.074976,-0.047991,0.063775,-0.070747,0.017401,0.053362,-0.012502,-0.097577,0.02295,0.199508,-0.03422,-0.154729,-0.140455,0.06218,0.165644,0.089615,-0.007702,-0.028542,-0.023925,0.045569,0.067095,-0.011749,0.006867,0.048233,0.128377,-0.061851,-0.010402,0.014418,-0.03735,0.054475,-0.055173,0.030443,-0.049471,0.018896,-0.024933,0.138853,0.086623,0.009607,no-recurrence-events
0.043686,0.035247,0.022266,0.008701,-0.056133,-0.014549,-0.002588,0.042847,0.096131,0.044571,0.028249,-0.052667,-0.066581,-0.004243,-0.03573,-0.09356,-0.036036,-0.03585,-0.049236,0.061402,0.000389,0.045802,-0.047785,0.008037,-0.001121,0.081179,-0.001185,-0.003063,0.064492,0.01531,-0.0398,-0.044597,0.032942,-0.040343,-0.00884,-0.002762,0.022454,-0.000151,no-recurrence-events
0.019455,0.101959,-0.01643,-0.057706,-0.024883,-0.025292,-0.032862,-0.093872,-0.077942,-0.045761,-0.057444,-0.056085,0.034738,0.012023,0.011633,0.09394,0.057714,0.031533,-0.006389,0.108766,-0.005776,-0.083592,0.038641,-0.001972,-0.047264,0.081912,0.07279,0.05016,-0.081504,0.12908,-0.005621,0.017903,-0.04262,0.052919,0.055613,-0.069168,-0.070319,0.035982,recurrence-events
-0.012466,-0.032258,-0.050976,-0.030362,-0.0825,0.048683,0.025488,-0.030884,0.019959,-0.069687,0.024343,0.063056,0.052072,0.056121,0.027746,-0.056451,-0.026027,0.098916,0.04134,-0.051879,-0.011452,-0.065526,-0.014582,0.043682,0.012063,0.009402,-0.004358,-0.008434,0.030068,-0.0384,0.094965,0.104817,0.007551,-0.0484,0.001902,0.080246,0.041986,0.085787,no-recurrence-events
0.018967,0.003082,-0.045727,-0.081143,0.055195,-0.112206,-0.008448,0.07019,0.015808,-0.022324,-0.059398,0.006415,-0.024833,-0.0047,0.037024,0.101752,0.030858,0.080361,0.019489,-0.016234,0.027428,-0.093358,0.011297,-0.032246,-0.042381,-0.050901,0.021032,-0.014293,-0.020957,0.080252,0.031489,-0.040691,0.008161,-0.006163,0.124949,-0.022293,0.016595,0.004732,recurrence-events
0.014979,-0.032183,0.104668,0.003472,-0.096857,0.044329,-0.030813,0.056232,-0.002196,0.032027,-0.016886,0.058649,-0.042066,0.001114,-0.034063,0.012467,0.055287,-0.092507,-0.036742,0.023596,-0.03819,-0.040069,0.106965,0.069962,-0.067424,-0.014244,-0.017726,-0.045641,-0.000973,-0.00363,-0.030759,-0.038405,0.085661,-0.035059,-0.01712,-0.011538,-0.038377,-0.074378,no-recurrence-events
0.07699,0.06938,0.017754,-0.066841,-0.003107,0.124407,0.018503,-0.164471,-0.017821,0.028121,-0.003214,0.035212,-0.07234,-0.014511,0.131952,0.022233,-0.022838,-0.067116,0.061891,-0.058435,0.031146,-0.036163,-0.03366,-0.06871,0.065388,-0.053306,0.047215,-0.030016,-0.049801,-0.030974,0.008304,-0.067702,0.044157,-0.054591,-0.050324,0.072446,-0.030565,-0.131018,no-recurrence-events
-0.045568,0.03813,0.132989,0.062066,0.067206,-0.000593,-0.035696,-0.009198,0.013429,-0.046098,0.037801,0.033259,-0.001051,0.024552,0.067499,0.084733,-0.030651,-0.006569,-0.08264,-0.126794,-0.141706,0.044892,-0.010223,-0.109726,-0.041057,-0.028892,0.171727,0.049086,-0.053707,0.068635,0.010257,0.095384,0.012418,-0.070216,-0.025909,0.0744,-0.07744,-0.132971,no-recurrence-events
0.027329,0.055267,0.001514,0.067294,0.110859,-0.001122,-0.025293,-0.027954,-0.007385,0.007461,-0.006907,0.059638,0.0467,0.048614,-0.059168,-0.043755,0.071874,0.016396,-0.009441,0.020387,0.041282,0.009181,0.05866,0.000225,0.004982,-0.006223,0.047399,-0.055797,0.032998,-0.014963,-0.0398,-0.006023,-0.090593,-0.001036,0.117137,-0.065262,-0.079108,-0.061674,no-recurrence-events
0.083094,-0.123613,0.058037,0.085503,-0.069513,-0.048445,-0.13384,0.092853,-0.02954,0.038863,0.090536,0.122614,0.04436,0.141434,0.011835,0.103287,-0.128551,0.070091,-0.001342,0.072424,0.009661,-0.003448,0.02591,0.119278,0.24239,-0.053306,0.071629,0.052504,-0.064449,-0.013396,-0.001462,-0.00569,-0.006136,0.023046,-0.105988,-0.032046,0.112014,0.200037,recurrence-events
-0.027359,0.008392,0.032764,0.075107,0.048359,0.037941,0.086035,0.038452,-0.015198,0.089493,0.010671,0.077216,-0.035819,-0.136933,0.061926,0.104682,0.064061,0.071084,-0.030926,0.133668,-0.032936,0.036525,-0.126887,-0.156025,0.008889,0.015261,-0.056116,-0.024547,-0.009971,-0.081369,0.089106,-0.115398,-0.157,-0.071349,0.027293,-0.010575,-0.012702,-0.065581,no-recurrence-events
-0.061722,0.088653,0.072925,-0.053799,0.15334,-0.065422,0.046545,-0.017578,-0.064758,0.028824,0.064504,-0.016046,0.128671,-0.006669,0.138098,-0.010308,-0.0115,-0.067222,0.16341,0.079957,0.006279,-0.058446,-0.004328,-0.051655,0.028115,-0.045774,-0.10702,0.037098,0.044961,-0.042795,0.005854,0.025837,0.096601,-0.016967,0.049021,0.003097,0.164178,-0.063017,no-recurrence-events
0.139572,0.072662,0.116382,-0.069424,0.092305,-0.003807,0.014013,0.019409,-0.052551,-0.022324,0.122243,0.078681,-0.080009,0.013,-0.121179,0.06269,-0.162989,0.111611,0.038532,0.038453,0.00106,0.029689,0.050359,0.072246,0.229104,-0.021604,0.076696,-0.047496,-0.061973,0.16033,0.033442,-0.003582,-0.060198,0.017762,-0.006887,-0.11995,-0.026374,0.039888,no-recurrence-events
0.028406,0.020521,0.064629,0.030816,0.0091,0.052691,-0.02477,0.064288,0.014405,-0.051713,0.003255,-0.031805,-0.009657,-0.012176,0.05456,0.010514,0.085377,-0.093483,0.045289,-0.11239,0.077197,0.095795,-0.016326,0.026993,-0.032024,-0.071373,-0.017726,0.010878,-0.031857,0.005403,0.082767,0.031541,-0.039522,0.043981,-0.072052,-0.076968,0.035353,-0.009924,no-recurrence-events
0.04979,-0.116608,0.010303,-0.018643,-0.105938,-0.098778,0.07041,0.019897,-0.11676,-0.117539,0.009694,-0.030206,0.013009,0.029083,-0.031824,-0.055474,-0.053126,-0.147666,0.076008,0.112183,-0.099343,0.200588,-0.050715,-0.04665,-0.092674,0.015261,0.100134,-0.134899,-0.013877,-0.098947,-0.156988,0.011555,-0.048601,-0.141661,-0.015676,0.00505,-0.069343,0.078951,no-recurrence-events
-0.023208,-0.016633,-0.054882,-0.003018,0.0425,-0.060692,-0.08584,-0.00354,-0.026916,-0.061875,-0.04011,-0.038506,0.065255,-0.010285,-0.085535,0.021674,0.028661,0.040322,-0.039715,-0.027465,-0.023171,-0.045994,-0.025324,0.020244,-0.007469,-0.031614,0.060095,0.012074,0.065225,0.029959,0.032465,-0.078777,0.034895,-0.0484,-0.017629,0.091964,0.004876,0.066255,no-recurrence-events
0.011948,-0.292023,-0.113232,0.002841,-0.135235,-0.058739,-0.023829,-0.059204,-0.075744,-0.027695,0.037038,-0.112725,0.016671,-0.12259,0.007239,-0.052544,-0.172511,-0.121787,0.149006,0.061402,-0.030007,0.201076,-0.008723,-0.050068,-0.002586,-0.104368,-0.05514,-0.146129,0.01835,-0.039377,-0.145269,-0.032878,-0.005144,-0.247618,0.016551,0.027511,-0.029304,0.052583,no-recurrence-events
